title,rank,date,artist,url,region,chart,trend,streams
Wildest Dreams,1,2021-01-07,Duomo,https://open.spotify.com/track/2Lj6TS98TSGMkcNGUvFA8N,United States,viral50,SAME_POSITION,
Jail,1,2021-08-30,Kanye West,https://open.spotify.com/track/42ZrMq4BKsWDrrbMnMRYaK,United States,top200,SAME_POSITION,4117709.0
Wildest Dreams,1,2021-01-08,Duomo,https://open.spotify.com/track/2Lj6TS98TSGMkcNGUvFA8N,United States,viral50,SAME_POSITION,
rockstar,1,2017-12-27,"Post Malone, 21 Savage",https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,United States,top200,SAME_POSITION,1439533.0
Wildest Dreams,1,2021-01-09,Duomo,https://open.spotify.com/track/2Lj6TS98TSGMkcNGUvFA8N,United States,viral50,SAME_POSITION,
God's Plan,1,2018-01-25,Drake,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY,United States,top200,SAME_POSITION,4739798.0
Wildest Dreams,1,2021-01-10,Duomo,https://open.spotify.com/track/2Lj6TS98TSGMkcNGUvFA8N,United States,viral50,SAME_POSITION,
Hurricane,1,2021-08-31,Kanye West,https://open.spotify.com/track/0RbW8kWozrVSIGb4V13o0o,United States,top200,MOVE_UP,2541831.0
Wildest Dreams,1,2021-01-11,Duomo,https://open.spotify.com/track/2Lj6TS98TSGMkcNGUvFA8N,United States,viral50,SAME_POSITION,
rockstar,1,2017-12-28,"Post Malone, 21 Savage",https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,United States,top200,SAME_POSITION,1452884.0
Wildest Dreams,1,2021-01-12,Duomo,https://open.spotify.com/track/2Lj6TS98TSGMkcNGUvFA8N,United States,viral50,SAME_POSITION,
Wildest Dreams,1,2021-01-13,Duomo,https://open.spotify.com/track/2fuiA0FQANMrcr2jXMc0nP,United States,viral50,SAME_POSITION,
Wildest Dreams,1,2021-01-14,Duomo,https://open.spotify.com/track/2fuiA0FQANMrcr2jXMc0nP,United States,viral50,SAME_POSITION,
God's Plan,1,2018-01-26,Drake,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY,United States,top200,SAME_POSITION,4650543.0
rockstar,1,2017-12-29,"Post Malone, 21 Savage",https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,United States,top200,SAME_POSITION,1448191.0
Feel It Still,1,2017-03-10,Portugal. The Man,https://open.spotify.com/track/7FESgYLcOufHqKlwrvJN60,United States,viral50,MOVE_UP,
Wildest Dreams,1,2021-01-15,Duomo,https://open.spotify.com/track/2fuiA0FQANMrcr2jXMc0nP,United States,viral50,SAME_POSITION,
Wellerman,1,2021-01-16,The Longest Johns,https://open.spotify.com/track/3oUuRNgyIuiqVTWLCChp3s,United States,viral50,MOVE_UP,
God's Plan,1,2018-01-27,Drake,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY,United States,top200,SAME_POSITION,4084255.0
Wellerman,1,2021-01-17,The Longest Johns,https://open.spotify.com/track/3oUuRNgyIuiqVTWLCChp3s,United States,viral50,SAME_POSITION,
rockstar,1,2017-12-30,"Post Malone, 21 Savage",https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,United States,top200,SAME_POSITION,1420928.0
Wellerman,1,2021-01-18,The Longest Johns,https://open.spotify.com/track/3oUuRNgyIuiqVTWLCChp3s,United States,viral50,SAME_POSITION,
Wellerman,1,2021-01-19,The Longest Johns,https://open.spotify.com/track/3oUuRNgyIuiqVTWLCChp3s,United States,viral50,SAME_POSITION,
Wellerman,1,2021-01-20,The Longest Johns,https://open.spotify.com/track/3oUuRNgyIuiqVTWLCChp3s,United States,viral50,SAME_POSITION,
Easy On Me,1,2021-10-29,Adele,https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX,United States,top200,SAME_POSITION,1521601.0
Diamond in the rough,1,2021-08-01,Arik Ancelin,https://open.spotify.com/track/54AtiA08i3sDfJYsBYZHPw,United States,viral50,SAME_POSITION,
Feel It Still,1,2017-03-11,Portugal. The Man,https://open.spotify.com/track/7FESgYLcOufHqKlwrvJN60,United States,viral50,SAME_POSITION,
God's Plan,1,2018-01-28,Drake,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY,United States,top200,SAME_POSITION,3593565.0
