streams,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,covid_period
1756460.0,0.834,0.73,8.0,-3.714,1.0,0.222,0.00513,0.0,0.124,0.446,155.008,4.0,1
3287293.0,0.835,0.626,1.0,-5.833,1.0,0.125,0.0589,6e-05,0.396,0.35,91.03,4.0,1
1916407.0,0.74,0.613,8.0,-4.88,1.0,0.145,0.258,0.00372,0.123,0.473,75.023,4.0,1
1752437.0,0.834,0.73,8.0,-3.714,1.0,0.222,0.00513,0.0,0.124,0.446,155.008,4.0,1
3322509.0,0.835,0.626,1.0,-5.833,1.0,0.125,0.0589,6e-05,0.396,0.35,91.03,4.0,1
1969889.0,0.511,0.566,6.0,-7.23,0.0,0.2,0.349,0.0,0.34,0.218,83.903,4.0,1
3029855.0,0.68,0.578,10.0,-5.804,1.0,0.04,0.331,0.0,0.135,0.341,145.038,4.0,1
1820159.0,0.834,0.73,8.0,-3.714,1.0,0.222,0.00513,0.0,0.124,0.446,155.008,4.0,1
3107769.0,0.835,0.626,1.0,-5.833,1.0,0.125,0.0589,6e-05,0.396,0.35,91.03,4.0,1
3018533.0,0.835,0.626,1.0,-5.833,1.0,0.125,0.0589,6e-05,0.396,0.35,91.03,4.0,1
1693000.0,0.834,0.73,8.0,-3.714,1.0,0.222,0.00513,0.0,0.124,0.446,155.008,4.0,1
1962900.0,0.511,0.566,6.0,-7.23,0.0,0.2,0.349,0.0,0.34,0.218,83.903,4.0,1
3148084.0,0.835,0.626,1.0,-5.833,1.0,0.125,0.0589,6e-05,0.396,0.35,91.03,4.0,1
1568167.0,0.834,0.73,8.0,-3.714,1.0,0.222,0.00513,0.0,0.124,0.446,155.008,4.0,1
3075095.0,0.835,0.626,1.0,-5.833,1.0,0.125,0.0589,6e-05,0.396,0.35,91.03,4.0,1
1686169.0,0.834,0.73,8.0,-3.714,1.0,0.222,0.00513,0.0,0.124,0.446,155.008,4.0,1
2721305.0,0.835,0.626,1.0,-5.833,1.0,0.125,0.0589,6e-05,0.396,0.35,91.03,4.0,1
2632697.0,0.68,0.578,10.0,-5.804,1.0,0.04,0.331,0.0,0.135,0.341,145.038,4.0,1
